,city,adoption date,med_sch_yr,meetings,jours,free_time,discuss,clubs,friends,community,patients,proximity,specialty,activation delay,correctly measured,exposure at adoption,last period activations
0,1,1.0,2.0,2.0,8.0,1.0,1.0,0.0,1.0,6.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0
1,1,12.0,6.0,0.0,4.0,3.0,2.0,0.0,4.0,1.0,4.0,3.0,1.0,7.0,1.0,2.0,1.0
2,1,8.0,4.0,1.0,6.0,3.0,1.0,0.0,3.0,5.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0
3,1,9.0,5.0,1.0,5.0,1.0,1.0,0.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0
4,1,9.0,4.0,1.0,3.0,1.0,2.0,0.0,2.0,5.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0
5,1,10.0,3.0,0.0,6.0,2.0,2.0,0.0,1.0,5.0,5.0,3.0,2.0,4.0,1.0,2.0,1.0
6,1,18.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,6.0,6.0,2.0,1.0,3.0,1.0,5.0,1.0
7,1,3.0,4.0,0.0,8.0,2.0,2.0,0.0,1.0,5.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0
8,1,11.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,6.0,1.0,2.0,3.0,2.0,0.0,5.0,2.0
9,1,2.0,4.0,1.0,3.0,2.0,1.0,0.0,4.0,5.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0
10,1,4.0,2.0,2.0,8.0,2.0,2.0,0.0,2.0,6.0,5.0,4.0,2.0,0.0,1.0,2.0,1.0
11,1,5.0,5.0,0.0,3.0,1.0,2.0,0.0,1.0,4.0,6.0,1.0,1.0,4.0,1.0,0.0,0.0
12,1,2.0,6.0,1.0,8.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0
13,1,15.0,5.0,1.0,2.0,3.0,2.0,0.0,4.0,4.0,5.0,3.0,1.0,6.0,1.0,2.0,1.0
14,1,4.0,4.0,0.0,4.0,2.0,2.0,0.0,1.0,5.0,6.0,,1.0,0.0,1.0,1.0,1.0
15,1,15.0,5.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,6.0,1.0,3.0,1.0
16,1,18.0,4.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,5.0,2.0,1.0,9.0,1.0,2.0,1.0
17,1,5.0,5.0,1.0,4.0,1.0,2.0,0.0,2.0,5.0,6.0,3.0,1.0,3.0,1.0,1.0,1.0
18,1,11.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,6.0,,3.0,2.0,2.0,1.0,1.0,1.0
19,1,2.0,4.0,2.0,8.0,1.0,1.0,0.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0
20,1,8.0,5.0,2.0,3.0,3.0,2.0,0.0,2.0,4.0,5.0,,3.0,0.0,1.0,2.0,1.0
21,1,7.0,6.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0
22,1,5.0,4.0,2.0,5.0,3.0,2.0,0.0,3.0,5.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0
23,1,4.0,5.0,1.0,5.0,1.0,2.0,0.0,2.0,1.0,4.0,2.0,2.0,0.0,1.0,2.0,1.0
24,1,3.0,6.0,1.0,3.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0
25,1,6.0,3.0,1.0,3.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0
26,1,1.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,5.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0
27,1,5.0,5.0,2.0,8.0,3.0,1.0,0.0,1.0,4.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0
28,1,3.0,3.0,2.0,4.0,1.0,2.0,0.0,2.0,4.0,5.0,2.0,2.0,0.0,1.0,2.0,1.0
29,1,15.0,6.0,1.0,3.0,3.0,1.0,0.0,4.0,3.0,4.0,1.0,1.0,11.0,1.0,2.0,1.0
30,1,5.0,5.0,1.0,8.0,3.0,1.0,0.0,3.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0
31,1,7.0,1.0,1.0,4.0,1.0,1.0,0.0,2.0,6.0,3.0,3.0,2.0,0.0,1.0,2.0,1.0
32,1,6.0,5.0,0.0,3.0,1.0,2.0,0.0,3.0,4.0,5.0,1.0,1.0,0.0,1.0,4.0,1.0
33,1,14.0,1.0,0.0,2.0,1.0,2.0,0.0,,6.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0
34,1,4.0,4.0,1.0,4.0,3.0,1.0,0.0,3.0,5.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0
35,1,8.0,3.0,1.0,5.0,3.0,1.0,0.0,3.0,5.0,5.0,2.0,2.0,1.0,1.0,8.0,1.0
36,1,8.0,4.0,2.0,7.0,1.0,1.0,0.0,4.0,4.0,3.0,3.0,2.0,4.0,1.0,3.0,1.0
37,1,14.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0
38,1,18.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,6.0,4.0,,1.0,12.0,1.0,2.0,1.0
39,1,,5.0,2.0,4.0,3.0,2.0,,3.0,3.0,,3.0,4.0,,,,
40,1,,3.0,2.0,5.0,1.0,2.0,0.0,1.0,5.0,1.0,3.0,4.0,,,,
41,1,,2.0,2.0,6.0,2.0,2.0,0.0,3.0,6.0,5.0,4.0,4.0,,,,
42,1,,3.0,2.0,2.0,2.0,1.0,0.0,,5.0,5.0,3.0,4.0,,,,
43,1,,5.0,2.0,6.0,2.0,1.0,0.0,3.0,3.0,2.0,3.0,4.0,,,,
44,1,,2.0,2.0,5.0,1.0,2.0,0.0,2.0,6.0,6.0,3.0,4.0,,,,
45,1,,3.0,2.0,8.0,1.0,1.0,0.0,1.0,5.0,2.0,3.0,4.0,,,,
46,1,,2.0,2.0,7.0,1.0,1.0,0.0,1.0,6.0,2.0,3.0,4.0,,,,
47,1,,3.0,1.0,3.0,3.0,1.0,0.0,2.0,5.0,4.0,2.0,4.0,,,,
48,1,,3.0,2.0,2.0,1.0,1.0,0.0,1.0,6.0,3.0,4.0,4.0,,,,
49,1,,4.0,2.0,4.0,2.0,2.0,0.0,1.0,5.0,4.0,3.0,4.0,,,,
50,1,,4.0,2.0,5.0,1.0,2.0,0.0,2.0,4.0,6.0,4.0,4.0,,,,
51,1,,4.0,2.0,8.0,1.0,3.0,,1.0,5.0,6.0,2.0,4.0,,,,
52,1,,2.0,2.0,3.0,3.0,2.0,0.0,3.0,6.0,6.0,2.0,4.0,,,,
53,1,,5.0,2.0,5.0,3.0,1.0,0.0,2.0,3.0,3.0,2.0,4.0,,,,
54,1,,3.0,2.0,5.0,1.0,1.0,1.0,1.0,5.0,,3.0,4.0,,,,
55,1,,1.0,2.0,3.0,1.0,1.0,0.0,1.0,6.0,,3.0,4.0,,,,
56,1,,3.0,1.0,4.0,1.0,2.0,0.0,1.0,5.0,6.0,2.0,4.0,,,,
57,1,4.0,2.0,1.0,3.0,3.0,2.0,0.0,4.0,6.0,4.0,1.0,4.0,0.0,1.0,1.0,1.0
58,1,,6.0,0.0,4.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,4.0,,,,
59,1,,6.0,2.0,2.0,3.0,2.0,0.0,3.0,1.0,2.0,3.0,4.0,,,,
60,1,,4.0,2.0,4.0,3.0,2.0,1.0,4.0,5.0,4.0,2.0,4.0,,,,
61,1,,5.0,1.0,5.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,4.0,,,,
62,1,,6.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,4.0,3.0,4.0,,,,
63,1,,6.0,0.0,6.0,2.0,3.0,0.0,3.0,1.0,1.0,2.0,4.0,,,,
64,1,,6.0,1.0,2.0,3.0,2.0,0.0,4.0,2.0,4.0,2.0,4.0,,,,
65,1,,5.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,5.0,3.0,4.0,,,,
66,1,,6.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,4.0,,,,
67,1,,6.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,4.0,,,,
68,1,,4.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,4.0,,,,
69,1,11.0,1.0,1.0,5.0,1.0,2.0,0.0,,6.0,,3.0,2.0,6.0,1.0,2.0,1.0
70,1,,1.0,2.0,7.0,1.0,2.0,0.0,1.0,6.0,2.0,,2.0,,,,
71,1,18.0,2.0,1.0,3.0,2.0,2.0,0.0,3.0,6.0,5.0,2.0,2.0,17.0,1.0,0.0,0.0
72,1,12.0,4.0,0.0,1.0,,,,1.0,5.0,3.0,1.0,1.0,11.0,1.0,0.0,0.0
73,1,12.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,5.0,1.0,1.0,11.0,1.0,0.0,0.0
74,1,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,,1.0,0.0,1.0,0.0,0.0
75,1,6.0,3.0,1.0,5.0,1.0,2.0,0.0,,4.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0
76,1,7.0,4.0,2.0,6.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0
77,1,1.0,3.0,2.0,7.0,3.0,1.0,0.0,2.0,5.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0
78,1,6.0,4.0,2.0,4.0,2.0,2.0,,1.0,5.0,5.0,3.0,1.0,0.0,0.0,3.0,2.0
79,1,18.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,6.0,4.0,2.0,1.0,9.0,1.0,3.0,1.0
80,1,4.0,4.0,1.0,5.0,2.0,2.0,0.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0
81,1,18.0,1.0,0.0,6.0,1.0,1.0,0.0,1.0,6.0,3.0,3.0,2.0,12.0,1.0,3.0,1.0
82,1,,4.0,2.0,4.0,3.0,2.0,,3.0,4.0,6.0,2.0,4.0,,,,
83,1,,5.0,2.0,3.0,1.0,1.0,0.0,3.0,4.0,3.0,3.0,4.0,,,,
84,1,,5.0,0.0,8.0,1.0,2.0,0.0,1.0,3.0,1.0,3.0,4.0,,,,
85,1,,6.0,0.0,1.0,2.0,2.0,0.0,3.0,2.0,,4.0,4.0,,,,
86,1,,6.0,2.0,5.0,3.0,1.0,0.0,3.0,2.0,,,4.0,,,,
87,1,,3.0,2.0,8.0,3.0,2.0,0.0,2.0,3.0,,3.0,4.0,,,,
88,1,,3.0,2.0,3.0,1.0,1.0,0.0,,5.0,,,4.0,,,,
89,1,,2.0,1.0,7.0,1.0,2.0,0.0,1.0,3.0,,,4.0,,,,
90,1,7.0,,,5.0,,,,,6.0,,,3.0,1.0,1.0,1.0,1.0
91,1,6.0,1.0,2.0,7.0,2.0,2.0,0.0,1.0,6.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0
92,1,1.0,2.0,2.0,8.0,1.0,1.0,0.0,1.0,6.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0
93,1,2.0,4.0,1.0,7.0,1.0,2.0,0.0,1.0,5.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0
94,1,5.0,5.0,0.0,4.0,3.0,1.0,0.0,4.0,4.0,3.0,4.0,2.0,0.0,1.0,1.0,1.0
95,1,13.0,4.0,1.0,2.0,2.0,1.0,0.0,2.0,5.0,1.0,,2.0,1.0,1.0,3.0,1.0
96,1,4.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
97,1,3.0,5.0,0.0,6.0,1.0,2.0,0.0,,3.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0
98,1,,3.0,2.0,6.0,1.0,1.0,0.0,1.0,4.0,6.0,2.0,4.0,,,,
99,1,,5.0,2.0,7.0,1.0,2.0,0.0,1.0,3.0,1.0,3.0,4.0,,,,
100,1,,2.0,2.0,4.0,2.0,1.0,0.0,2.0,6.0,3.0,3.0,4.0,,,,
101,1,,6.0,2.0,4.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,4.0,,,,
102,1,,5.0,0.0,2.0,2.0,2.0,0.0,4.0,3.0,2.0,2.0,4.0,,,,
103,1,,5.0,1.0,5.0,1.0,1.0,0.0,1.0,3.0,6.0,3.0,4.0,,,,
104,1,7.0,4.0,0.0,4.0,1.0,2.0,0.0,1.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0
105,1,,2.0,2.0,4.0,2.0,3.0,,2.0,6.0,,3.0,4.0,,,,
106,1,,1.0,1.0,1.0,1.0,1.0,,,6.0,4.0,1.0,1.0,,,,
107,1,18.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,6.0,5.0,1.0,1.0,9.0,1.0,1.0,1.0
108,1,,2.0,,,3.0,,0.0,3.0,6.0,,,4.0,,,,
109,1,,,,,,,,,2.0,,,4.0,,,,
110,1,,,,,,,,,,,,,,,,
111,1,,,,,,,,,,,,,,,,
112,1,,,,,,,,,,,,,,,,
113,1,,,,,,,,,,,,,,,,
114,1,,,,,,,,,,,,,,,,
115,1,,,,,,,,,,,,,,,,
116,1,,,,,,,,,,,,,,,,
117,2,,3.0,2.0,7.0,1.0,2.0,0.0,2.0,5.0,5.0,2.0,2.0,,,,
118,2,1.0,6.0,1.0,2.0,1.0,2.0,0.0,1.0,4.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0
119,2,,3.0,2.0,3.0,1.0,1.0,0.0,1.0,5.0,5.0,2.0,1.0,,,,
120,2,7.0,6.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,2.0,5.0,0.0,2.0,2.0
121,2,6.0,4.0,1.0,8.0,1.0,2.0,0.0,2.0,4.0,4.0,2.0,2.0,0.0,1.0,8.0,1.0
122,2,1.0,4.0,2.0,4.0,3.0,2.0,0.0,1.0,5.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0
123,2,18.0,1.0,0.0,1.0,1.0,2.0,0.0,,5.0,5.0,1.0,2.0,10.0,1.0,2.0,1.0
124,2,7.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,6.0,5.0,1.0,1.0,0.0,1.0,3.0,1.0
125,2,6.0,5.0,2.0,3.0,3.0,2.0,0.0,4.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0,1.0
126,2,1.0,3.0,2.0,5.0,1.0,1.0,0.0,1.0,6.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0
127,2,2.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,6.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0
128,2,5.0,6.0,2.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,0.0,0.0
129,2,1.0,3.0,0.0,2.0,2.0,1.0,1.0,4.0,4.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0
130,2,1.0,5.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0
131,2,2.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0
132,2,2.0,6.0,2.0,8.0,3.0,2.0,0.0,3.0,4.0,6.0,3.0,1.0,0.0,1.0,1.0,1.0
133,2,11.0,2.0,0.0,4.0,1.0,2.0,0.0,,4.0,3.0,,1.0,1.0,1.0,2.0,1.0
134,2,5.0,5.0,0.0,5.0,2.0,1.0,0.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,0.0,0.0
135,2,17.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,4.0,6.0,1.0,1.0,10.0,1.0,1.0,1.0
136,2,7.0,6.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,2.0,1.0
137,2,,5.0,2.0,3.0,2.0,2.0,0.0,3.0,3.0,2.0,3.0,4.0,,,,
138,2,,2.0,2.0,5.0,1.0,2.0,0.0,1.0,6.0,3.0,3.0,4.0,,,,
139,2,,6.0,2.0,8.0,2.0,2.0,0.0,2.0,3.0,2.0,3.0,4.0,,,,
140,2,,4.0,2.0,7.0,1.0,2.0,0.0,1.0,4.0,3.0,2.0,4.0,,,,
141,2,,3.0,2.0,4.0,1.0,1.0,0.0,1.0,5.0,5.0,3.0,4.0,,,,
142,2,,5.0,2.0,3.0,3.0,2.0,0.0,2.0,3.0,,3.0,4.0,,,,
143,2,,6.0,2.0,5.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,4.0,,,,
144,2,,2.0,2.0,5.0,2.0,2.0,1.0,2.0,6.0,6.0,3.0,4.0,,,,
145,2,,6.0,1.0,3.0,3.0,1.0,0.0,2.0,1.0,,2.0,4.0,,,,
146,2,,4.0,2.0,4.0,1.0,,0.0,3.0,4.0,4.0,3.0,4.0,,,,
147,2,,4.0,2.0,8.0,1.0,2.0,0.0,1.0,5.0,5.0,3.0,4.0,,,,
148,2,,6.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,,,,
149,2,,5.0,2.0,4.0,2.0,2.0,0.0,2.0,3.0,3.0,2.0,4.0,,,,
150,2,1.0,3.0,2.0,4.0,1.0,1.0,0.0,2.0,4.0,5.0,2.0,3.0,0.0,1.0,0.0,0.0
151,2,18.0,2.0,2.0,8.0,1.0,1.0,0.0,,6.0,5.0,1.0,1.0,11.0,1.0,5.0,1.0
152,2,9.0,6.0,1.0,8.0,1.0,2.0,0.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0
153,2,9.0,3.0,1.0,5.0,1.0,2.0,0.0,,3.0,,1.0,1.0,8.0,1.0,0.0,0.0
154,2,18.0,5.0,1.0,5.0,1.0,3.0,0.0,1.0,5.0,6.0,2.0,4.0,0.0,1.0,2.0,1.0
155,2,7.0,5.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0
156,2,,2.0,2.0,7.0,1.0,1.0,0.0,1.0,6.0,6.0,2.0,4.0,,,,
157,2,,4.0,1.0,3.0,3.0,1.0,0.0,1.0,5.0,5.0,3.0,4.0,,,,
158,2,,2.0,2.0,6.0,1.0,1.0,0.0,3.0,6.0,5.0,,4.0,,,,
159,2,,6.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,,,,
160,2,,3.0,2.0,2.0,,,,,5.0,4.0,,4.0,,,,
161,2,,4.0,,,,,,,4.0,,,4.0,,,,
162,2,,,,,,,,,8.0,,,4.0,,,,
163,2,,2.0,0.0,,,,,,6.0,,,4.0,,,,
164,2,,1.0,1.0,,1.0,,,3.0,6.0,,,4.0,,,,
165,2,,,,,,,,,,,,,,,,
166,2,,,,,,,,,,,,,,,,
167,3,2.0,4.0,0.0,5.0,2.0,2.0,0.0,2.0,5.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0
168,3,18.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,6.0,6.0,1.0,1.0,12.0,1.0,1.0,1.0
169,3,18.0,6.0,0.0,4.0,3.0,2.0,0.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0
170,3,4.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,6.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0
171,3,18.0,4.0,2.0,3.0,1.0,2.0,0.0,2.0,5.0,6.0,1.0,1.0,12.0,1.0,1.0,1.0
172,3,5.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,6.0,3.0,3.0,2.0,4.0,1.0,0.0,0.0
173,3,7.0,4.0,2.0,5.0,3.0,2.0,0.0,3.0,2.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0
174,3,18.0,1.0,1.0,5.0,1.0,1.0,0.0,2.0,6.0,4.0,3.0,2.0,10.0,1.0,5.0,1.0
175,3,3.0,5.0,1.0,3.0,1.0,2.0,0.0,1.0,3.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0
176,3,15.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,5.0,6.0,3.0,1.0,12.0,1.0,1.0,1.0
177,3,16.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,6.0,6.0,2.0,4.0,7.0,1.0,2.0,1.0
178,3,7.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,5.0,2.0,1.0,6.0,1.0,0.0,0.0
179,3,6.0,4.0,1.0,3.0,1.0,2.0,1.0,,4.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0
180,3,6.0,5.0,0.0,3.0,3.0,1.0,0.0,3.0,4.0,5.0,4.0,3.0,0.0,1.0,1.0,1.0
181,3,5.0,4.0,2.0,7.0,1.0,2.0,1.0,1.0,5.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0
182,3,,3.0,2.0,4.0,3.0,2.0,0.0,2.0,4.0,6.0,3.0,4.0,,,,
183,3,,4.0,0.0,3.0,1.0,2.0,0.0,3.0,2.0,1.0,3.0,4.0,,,,
184,3,,3.0,2.0,4.0,2.0,1.0,0.0,3.0,4.0,6.0,3.0,4.0,,,,
185,3,,6.0,2.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,4.0,,,,
186,3,,4.0,2.0,3.0,3.0,2.0,0.0,3.0,4.0,4.0,3.0,4.0,,,,
187,3,,6.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,6.0,2.0,4.0,,,,
188,3,,3.0,0.0,3.0,1.0,1.0,0.0,1.0,6.0,6.0,3.0,4.0,,,,
189,3,,4.0,2.0,7.0,1.0,1.0,0.0,1.0,5.0,6.0,3.0,4.0,,,,
190,3,,2.0,2.0,6.0,1.0,1.0,0.0,1.0,5.0,,3.0,4.0,,,,
191,3,,4.0,2.0,3.0,1.0,1.0,0.0,2.0,4.0,,3.0,4.0,,,,
192,3,,4.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,2.0,3.0,4.0,,,,
193,3,,3.0,2.0,3.0,2.0,2.0,0.0,2.0,4.0,3.0,3.0,4.0,,,,
194,3,3.0,4.0,0.0,3.0,1.0,1.0,0.0,,5.0,,3.0,1.0,2.0,1.0,0.0,0.0
195,3,13.0,5.0,1.0,5.0,3.0,1.0,0.0,,1.0,4.0,3.0,2.0,12.0,1.0,0.0,0.0
196,3,11.0,3.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,6.0,1.0,1.0,10.0,1.0,0.0,0.0
197,3,8.0,2.0,2.0,8.0,1.0,2.0,0.0,2.0,6.0,6.0,3.0,3.0,4.0,1.0,1.0,1.0
198,3,3.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0
199,3,2.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
200,3,,1.0,0.0,3.0,1.0,1.0,0.0,1.0,6.0,5.0,,4.0,,,,
201,3,,1.0,,,,,,3.0,6.0,,,4.0,,,,
202,3,,,,,,,,,3.0,,1.0,4.0,,,,
203,3,,2.0,,,,,,1.0,2.0,,,4.0,,,,
204,3,,,2.0,,,,,,1.0,,,4.0,,,,
205,3,,,,,,,,,,,,,,,,
206,3,,,,,,,,,,,,,,,,
207,3,,,,,,,,,,,,,,,,
208,3,,,,,,,,,,,,,,,,
209,3,,,,,,,,,,,,,,,,
210,3,,,,,,,,,,,,,,,,
211,4,18.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,4.0,5.0,2.0,1.0,9.0,1.0,2.0,1.0
212,4,18.0,4.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,6.0,2.0,1.0,13.0,1.0,1.0,1.0
213,4,4.0,6.0,1.0,5.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0
214,4,5.0,4.0,0.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,4.0,1.0,0.0,0.0
215,4,8.0,4.0,1.0,5.0,3.0,2.0,0.0,1.0,4.0,6.0,,2.0,0.0,0.0,6.0,2.0
216,4,4.0,1.0,2.0,7.0,1.0,2.0,0.0,2.0,6.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0
217,4,3.0,6.0,0.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0
218,4,8.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,2.0,1.0,7.0,1.0,0.0,0.0
219,4,13.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,5.0,2.0,1.0,5.0,1.0,1.0,1.0
220,4,6.0,4.0,0.0,5.0,3.0,2.0,0.0,2.0,4.0,4.0,2.0,3.0,5.0,1.0,0.0,0.0
221,4,3.0,6.0,0.0,4.0,2.0,1.0,0.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0
222,4,6.0,3.0,2.0,6.0,1.0,1.0,0.0,2.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0
223,4,14.0,6.0,1.0,4.0,1.0,1.0,0.0,1.0,3.0,4.0,3.0,1.0,9.0,0.0,2.0,2.0
224,4,7.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0
225,4,4.0,4.0,1.0,5.0,3.0,,1.0,2.0,5.0,6.0,1.0,1.0,3.0,1.0,0.0,0.0
226,4,14.0,6.0,1.0,6.0,2.0,2.0,0.0,4.0,1.0,,3.0,3.0,6.0,1.0,2.0,1.0
227,4,,1.0,2.0,2.0,2.0,1.0,0.0,3.0,6.0,5.0,1.0,1.0,,,,
228,4,7.0,5.0,2.0,4.0,1.0,2.0,0.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0,3.0,2.0
229,4,,4.0,1.0,7.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,,,,
230,4,,2.0,2.0,8.0,1.0,1.0,0.0,2.0,5.0,,3.0,4.0,,,,
231,4,,5.0,2.0,5.0,3.0,2.0,1.0,3.0,3.0,6.0,3.0,4.0,,,,
232,4,,5.0,2.0,4.0,3.0,1.0,1.0,4.0,3.0,6.0,3.0,4.0,,,,
233,4,,3.0,2.0,3.0,1.0,2.0,0.0,3.0,4.0,2.0,2.0,4.0,,,,
234,4,,3.0,2.0,7.0,1.0,1.0,0.0,1.0,5.0,5.0,3.0,4.0,,,,
235,4,,5.0,2.0,4.0,1.0,1.0,0.0,2.0,4.0,,3.0,4.0,,,,
236,4,,4.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,,,,
237,4,,2.0,2.0,6.0,1.0,1.0,0.0,3.0,4.0,3.0,3.0,4.0,,,,
238,4,,1.0,2.0,5.0,3.0,2.0,0.0,2.0,6.0,2.0,3.0,4.0,,,,
239,4,,3.0,2.0,,1.0,1.0,1.0,1.0,6.0,3.0,3.0,4.0,,,,
240,4,16.0,2.0,1.0,4.0,,,,,6.0,,3.0,1.0,15.0,1.0,0.0,0.0
241,4,,4.0,1.0,5.0,1.0,2.0,0.0,3.0,5.0,,2.0,4.0,,,,
242,4,,4.0,2.0,4.0,1.0,1.0,0.0,3.0,4.0,2.0,2.0,4.0,,,,
243,4,,,,,,,,,,,,,,,,
244,4,,,,,,,,,,,,,,,,
245,4,,,,,,,,,,,,,,,,
